spacing_bp_bin_center,count
81,0
83,0
85,0
87,0
89,0
91,0
93,0
95,0
97,0
99,0
101,0
103,0
105,0
107,168
109,517
111,736
113,580
115,490
117,516
119,725
121,1059
123,1072
125,706
127,820
129,1432
131,2188
133,1880
135,1155
137,1124
139,2329
141,4116
143,3860
145,1772
147,2027
149,4915
151,5762
153,3914
155,2271
157,1681
159,2200
161,2533
163,2256
165,1664
167,986
169,1084
171,1283
173,1097
175,879
177,641
179,577
181,617
183,609
185,472
187,362
189,358
191,368
193,363
195,292
197,227
199,238
201,260
203,231
205,207
207,187
209,185
211,206
213,216
215,172
217,180
219,152
221,168
223,176
225,185
227,127
229,152
231,183
233,161
235,152
237,141
239,154
241,132
243,138
245,121
247,140
249,102
251,99
253,126
255,105
257,105
259,85
261,94
263,74
265,61
267,73
269,75
271,57
273,67
275,89
277,67
279,63
281,74
283,68
285,65
287,65
289,68
291,54
293,66
295,77
297,82
299,65
301,61
303,66
305,38
307,59
309,70
311,44
313,48
315,72
317,58
319,57
321,44
323,53
325,41
327,65
329,46
331,52
333,45
335,54
337,46
339,29
341,41
343,39
345,34
347,28
349,43
351,27
353,28
355,40
357,31
359,32
361,35
363,29
365,23
367,37
369,28
371,22
373,24
375,36
377,28
379,17
381,22
383,22
385,19
387,18
389,21
391,31
393,12
395,19
397,17
399,18
401,11
403,10
405,12
407,16
409,11
411,10
413,11
415,13
417,18
419,14
421,8
423,10
425,16
427,11
429,9
431,20
433,18
435,16
437,15
439,18
441,10
443,9
445,9
447,9
449,7
451,8
453,13
455,7
457,12
459,15
461,10
463,12
465,10
467,10
469,7
471,5
473,10
475,5
477,5
479,6
481,4
483,1
485,6
487,4
489,8
491,7
493,6
495,3
497,2
499,6
501,6
503,5
505,5
507,6
509,8
511,4
513,3
515,5
517,6
519,4
521,6
523,0
525,3
527,7
529,3
531,6
533,1
535,0
537,5
539,6
541,1
543,2
545,3
547,2
549,6
551,2
553,4
555,2
557,6
559,2
561,1
563,3
565,8
567,6
569,2
571,4
573,2
575,0
577,6
579,3
581,3
583,1
585,2
587,2
589,3
591,0
593,2
595,1
597,0
599,3
